Movie,['Director(s)'],['Cast']
Moonlight,['Barry Jenkins'],"['Alex R. Hibbert', 'Andre Holland', 'Ashton Sanders', ""Duan 'Sandy' Sanderson"", 'Duan Sanderson', ""Duan'Sandy' Sanderson"", 'Eddie Blanchard', 'Edson Jean', ""Herman 'Caheei McGloun"", 'Jaden Piner', 'Janelle Monáe', 'Jharrel Jerome', 'Kamal Ani-Bellow', 'Keomi Givens', 'Larry Anderson', 'Mahershala Ali', 'Naomie Harris', 'Patrick Decile', 'Rudi Goblen', 'Rudi Goblin', 'Shariff Earp', 'Stephon Bron', 'Tanisha Cidel', 'Trevante Rhodes', 'Alex R. Hibbert', 'Ashton Sanders', 'Duan Sanderson', ""Herman 'Caheei McGloun"", 'Jaden Piner', 'Janelle Monáe', 'Mahershala Ali', 'Naomie Harris', 'Shariff Earp']"
Intolerance,['D.W. Griffith'],"['Dore Davidson', 'Edward Dillon', 'Elmer Clifton', 'Frank Bennett', 'Josephine Crowell', 'Lucille Browne', 'Mary Alden', 'Miriam Cooper', 'Monte Blue', 'Pearl Elmore', 'Sam De Grasse', 'Spottiswoode Aitken', 'Taylor N. Duncan', 'William H. Brown', 'Lillian Gish']"
Pinocchio,"['Ben Sharpsteen', 'Bill Roberts', 'Hamilton Luske', 'Jack Kinney', 'Norman Ferguson', 'T. Hee', 'Wilfred Jackson']","['Clarence Nash', 'Jack Mercer', 'John McLeish', 'Mae Questel', 'Patricia Page', 'Thurl Ravenscroft', 'Charles Judels', 'Cliff Edwards', 'Dickie Jones', 'Don Brodie', 'Frankie Darro', 'Marion Darlington', 'Mel Blanc', 'Stuart Buchanan', 'Walter Catlett']"
Touch of Evil,['Orson Welles'],"['Joi Lansing', 'Lalo Rios', 'Michael Sargent', 'Phil Harvey', 'Victor Millan', 'Akim Tamiroff', 'Charlton Heston', 'Dennis Weaver', 'Janet Leigh', 'Joanna Moore', 'Joseph Calleia', 'Mort Mills', 'Orson Welles', 'Ray Collins', 'Valentin de Vargas']"
The Lady Vanishes,['Alfred Hitchcock'],"['Catherine Lacey', 'Googie Withers', 'Philip Leaver', 'Sally Stewart', 'Selma Vaz Dias', 'Basil Radford', 'Cecil Parker', 'Dame May Whitty', 'Emile Boreo', 'Linden Travers', 'Margaret Lockwood', 'Mary Clare', 'Michael Redgrave', 'Naunton Wayne', 'Paul Lukas']"
The Treasure of the Sierra Madre,['John Huston'],"['Guillermo Calles', 'Jacqueline Dalya', 'Robert Blake', 'Roberto Cañedo', 'Spencer Chan', 'Alfonso Bedoya', 'Arturo Soto Rangel', 'Barton MacLane', 'Bruce Bennett', 'Humphrey Bogart', 'José Torvay', 'Manuel Dondé', 'Margarito Luna', 'Tim Holt', 'Walter Huston']"
Pan's Labyrinth,['Guillermo del Toro'],"['Álex Angulo', 'César Vea', 'Doug Jones', 'Eusebio Lázaro', 'Francisco Vidal', 'Gonzalo Uriarte', 'Ivan Massagué', 'Juanjo Cucalón', 'Lina Mira', 'Manolo Solo', 'Maribel Verdú', 'Roger Casamajor', 'Ariadna Gil', 'Ivana Baquero', 'Sergi López']"
Some Like It Hot,['Billy Wilder'],"['Barbara Drew', 'Beverly Wills', 'Dave Barry', 'Harry Wilson', 'Mike Mazurki', 'Billy Gray', 'George E. Stone', 'George Raft', 'Jack Lemmon', 'Joan Shawlee', 'Joe E. Brown', 'Marilyn Monroe', 'Nehemiah Persoff', ""Pat O'Brien"", 'Tony Curtis']"
North by Northwest,['Alfred Hitchcock'],"['Edward Binns', 'Les Tremayne', 'Patrick McVey', 'Philip Coolidge', 'Robert Ellenstein', 'Adam Williams', 'Cary Grant', 'Edward Platt', 'Eva Marie Saint', 'James Mason', 'Jessie Royce Landis', 'Josephine Hutchinson', 'Leo G. Carroll', 'Martin Landau', 'Philip Ober']"
Hoop Dreams,['Steve James'],"['Aretha Mitchell', ""Arthur 'Bo' Agee"", 'Bill Gleason', 'Curtis Gates', 'Earl Smith', 'Emma Gates', 'Gene Pingatore', 'Isiah Thomas', 'Luther Bedford', 'Marjorie Heard', 'Marlyn Hopewell', 'Patricia Weir', 'Sheila Agee', 'Arthur Agee', 'William Gates']"
Rashomon,['Akira Kurosawa'],"['Daisuke Katô', 'Kichijir', 'Leslie Daniels', 'Machiko Kyô', 'Masayuki Mori', 'Minoru Chiaki', 'Noriko Honma', 'Takashi Shimura', 'Toshirô Mifune']"
All About Eve,['Joseph L. Mankiewicz'],"['Barbara White', 'Craig Hill', 'Leland Harris', 'Randy Stuart', 'Walter Hampden', 'Anne Baxter', 'Barbara Bates', 'Bette Davis', 'Celeste Holm', 'Gary Merrill', 'George Sanders', 'Gregory Ratoff', 'Hugh Marlowe', 'Marilyn Monroe', 'Thelma Ritter']"
Jules and Jim,['François Truffaut'],"['Anny Nelsen', 'Bernard Largemain', 'Danielle Bassiak', 'Dominique Lacarrière', 'Elen Bober', 'Henri Serre', 'Kate Noelle', 'Marie Dubois', 'Michel Subor', 'Pierre Fabre', 'Sabine Haudepin', 'Serge Rezvani', 'Vanna Urbino', 'Jeanne Moreau', 'Oskar Werner']"
The Wild Bunch,['Sam Peckinpah'],"['Albert Dekker', 'Bo Hopkins', 'Dub Taylor', 'Jorge Russek', 'Paul Harper', 'Ben Johnson', ""Edmond O'Brien"", 'Emilio Fernández', 'Ernest Borgnine', 'Jaime Sanchez', 'L.Q. Jones', 'Robert Ryan', 'Strother Martin', 'Warren Oates', 'William Holden']"
My Left Foot,['Jim Sheridan'],"['Alison Whelan', 'Cyril Cusack', 'Declan Croghan', 'Derry Power', 'Eanna MacLiam', 'Fiona Shaw', ""Hugh O'Conor"", 'Kirsten Sheridan', 'Marie Conmee', 'Pat Laffan', 'Phelim Drew', 'Ray McAnally', 'Ruth McCabe', 'Brenda Fricker', 'Daniel Day-Lewis']"
The Third Man,['Carol Reed'],"['Harold Ayer', 'Harry Belcher', 'Hedwig Bleibtreu', 'Jack Arrow', 'Nelly Arno', 'Alida Valli', 'Bernard Lee', 'Erich Ponto', 'Ernst Deutsch', 'Joseph Cotten', 'Orson Welles', 'Paul Hörbiger', 'Siegfried Breuer', 'Trevor Howard', 'Wilfrid Hyde-White']"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,['Stanley Kubrick'],"['Frank Berry', 'Glenn Beck', 'Hal Galili', 'Jack Creley', 'James Earl Jones', 'Keenan Wynn', 'Peter Bull', ""Robert O'Neil"", 'Roy Stephens', 'Shane Rimmer', 'Slim Pickens', 'Sterling Hayden', 'Tracy Reed', 'George C. Scott', 'Peter Sellers']"
"Quo Vadis, Aida?",['Jasmila Zbanic'],"['Alban Ukaj', 'Edita Malovcic', 'Ermin Bravo', 'Jelena Kordic', 'Juda Goslinga', 'Boris Isakovic', 'Boris Ler', 'Dino Bajrovic', 'Emir Hadzihafizbegovic', 'Izudin Bajrovic', 'Jasna Djuricic', 'Johan Heldenbergh', 'Raymond Thiry', 'Reinout Bussemaker', 'Teun Luijkx']"
Gone with the Wind,"['George Cukor', 'Sam Wood', 'Victor Fleming']","['Alicia Rhett', 'Ann Rutherford', ""Barbara O'Neil"", 'Butterfly McQueen', 'Evelyn Keyes', 'Everett Brown', 'Fred Crane', 'George Reeves', 'Hattie McDaniel', 'Howard C. Hickman', 'Leslie Howard', 'Oscar Polk', 'Thomas Mitchell', 'Victor Jory', 'Vivien Leigh']"
"4 Months, 3 Weeks and 2 Days",['Cristian Mungiu'],"['Adi Carauleanu', 'Alexandru Potocean', 'Cerasela Iosifescu', 'Constantin Bojog', 'Costica Babu', 'Cristina Burbuz', 'Doru Ana', 'Eugenia Bosânceanu', 'Ion Sapdaru', 'Laura Vasiliu', 'Liliana Mocanu', 'Luminita Gheorghiu', 'Marioara Sterian', 'Mihaela Alexandru', 'Monica Alexandrescu', 'Tania Popa', 'Teodor Corban', 'Anamaria Marinca', 'Vlad Ivanov']"
Psycho,['Alfred Hitchcock'],"['Fletcher Allen', 'Frank Albertson', 'John Anderson', 'John Gavin', 'John McIntire', 'Lurene Tuttle', 'Martin Balsam', 'Mort Mills', 'Patricia Hitchcock', 'Simon Oakland', 'Vaughn Taylor', 'Vera Miles', 'Walter Bacon', 'Anthony Perkins', 'Janet Leigh']"
Battleship Potemkin,['Sergei M. Eisenstein'],"['Beatrice Vitoldi', 'Daniil Antonovich', 'Iona Biy-Brodskiy', 'Julia Eisenstein', 'Sergei M. Eisenstein', 'A. Glauberman', 'Aleksandr Antonov', 'Aleksandr Levshin', 'Grigoriy Aleksandrov', 'Ivan Bobrov', 'Konstantin Feldman', 'Mikhail Gomorov', 'N. Poltavtseva', 'Prokhorenko', 'Vladimir Barskiy']"
A Streetcar Named Desire,['Elia Kazan'],"['Dahn Ben Amotz', 'Edna Thomas', 'Marietta Canty', 'Mel Archer', 'Mickey Kuhn', 'Ann Dere', 'Karl Malden', 'Kim Hunter', 'Marlon Brando', 'Nick Dennis', 'Peg Hillias', 'Richard Garrick', 'Rudy Bond', 'Vivien Leigh', 'Wright King']"
The Maltese Falcon,['John Huston'],"['Charles Drake', 'Chester Gan', 'James Burke', 'John Hamilton', 'Murray Alper', 'Barton MacLane', 'Elisha Cook Jr.', 'Gladys George', 'Humphrey Bogart', 'Jerome Cowan', 'Lee Patrick', 'Mary Astor', 'Peter Lorre', 'Sydney Greenstreet', 'Ward Bond']"
American Graffiti,['George Lucas'],"['Beau Gentry', 'Deby Celiz', 'Harrison Ford', 'Jana Bellan', 'Jim Bohan', 'Bo Hopkins', 'Candy Clark', 'Charles Martin Smith', 'Cindy Williams', 'Mackenzie Phillips', 'Manuel Padilla Jr.', 'Paul Le Mat', 'Richard Dreyfuss', 'Ron Howard', 'Wolfman Jack']"
Dumbo,"['Ben Sharpsteen', 'Bill Roberts', 'Jack Kinney', 'John Elliotte', 'Norman Ferguson', 'Samuel Armstrong', 'Wilfred Jackson']","['Hall Johnson', 'Harold Manley', 'James MacDonald', 'John McLeish', 'Malcolm Hutton', 'Billy Bletcher', 'Cliff Edwards', 'Eddie Holden', 'Edward Brophy', 'Herman Bing', 'James Baskett', 'Jim Carmichael', 'Noreen Gammill', 'Sterling Holloway', 'Verna Felton']"
Roma,['Alfonso Cuarón'],"['Jorge Antonio Guerrero', 'José Luis López Gómez', 'José Manuel Guerrero Mendoza', 'Latin Lover', 'Zarela Lizbeth Chinolla Arellano', 'Andy Cortés', 'Carlos Peralta', 'Daniela Demesa', 'Diego Cortina Autrey', 'Fernando Grediaga', 'Marco Graf', 'Marina de Tavira', 'Nancy García García', 'Verónica García', 'Yalitza Aparicio']"
Parasite,['Joon-ho Bong'],"['Hye-jin Jang', 'Hyun Seung-min', 'JaeWook Park', 'Jeong Esuz', 'Jeong-eun Lee', 'Ji-hye Lee', 'Ji-rye Lee', 'Jung Hyeon-jun', 'Jung Ik-Han', 'Jung Ziso', 'Kang Echae', 'Keun-rok Park', 'Lee Joo-Hyung', 'Myeong-hoon Park', 'Pak Hyo-Shin', 'Seo Joon Park', 'Seong-Bong Ahn', 'Andreas Fronk', 'Hyae Jin Chang', 'Hye-jin Jang', 'Hyun Seung-min', 'JaeWook Park', 'Jeong Esuz', 'Jeong-eun Lee', 'Ji-rye Lee', 'Jung Hyeon-jun', 'Jung Ik-Han', 'Kang Echae', 'Kang-ho Song', 'Lee Joo-Hyung', 'Myeong-hoon Park', 'Pak Hyo-Shin', 'Seo Joon Park', 'Seon-gyun Lee', 'So-dam Park', 'Woo-sik Choi', 'Yeo-Jeong Cho', 'Yeo-jeong Jo']"
Ran,['Akira Kurosawa'],"['Hisashi Igawa', 'Kazuo Katô', 'Kenji Kodama', 'Mansai Nomura', 'Masayuki Yui', 'Mieko Harada', 'Norio Matsui', 'Peter', 'Takashi Watanabe', 'Toshiya Ito', 'Yoshiko Miyazaki', 'Akira Terao', 'Daisuke Ryû', 'Jinpachi Nezu', 'Tatsuya Nakadai']"
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",['Ahmir-Khalib Thompson'],"['Gladys Knight & The Pips', 'Mavis Staples', 'Sly and the Family Stone', 'The 5th Dimension', 'The Chambers Brothers', 'Abbey Lincoln', 'B.B. King', 'David Ruffin', 'Jesse Jackson', 'Mahalia Jackson', 'Max Roach', 'Moms Mabley', 'Nina Simone', 'Sal Masekela', 'Stevie Wonder']"
The Shop Around the Corner,['Ernst Lubitsch'],"['Charles Arnt', 'Charles Halton', 'Charles Smith', 'Joan Blair', 'Mary Carr', 'Edwin Maxwell', 'Felix Bressart', 'Frank Morgan', 'Inez Courtney', 'James Stewart', 'Joseph Schildkraut', 'Margaret Sullavan', 'Sara Haden', 'Sarah Edwards', 'William Tracy']"
12 Angry Men,['Sidney Lumet'],"['E.G. Marshall', 'Ed Begley', 'Edward Binns', 'George Voskovec', 'Jack Klugman', 'Jack Warden', 'James Kelly', 'John Fiedler', 'Joseph Sweeney', 'Martin Balsam', 'Robert Webber', 'Rudy Bond', 'Tom Gorman', 'Henry Fonda', 'Lee J. Cobb']"
Rosemary's Baby,['Roman Polanski'],"['Charles Grodin', ""D'Urville Martin"", 'Elisha Cook Jr.', 'Emmaline Henry', 'Hanna Hertelendy', 'Hope Summers', 'Maurice Evans', 'Patsy Kelly', 'Phil Leeds', 'Ralph Bellamy', 'Ruth Gordon', 'Sidney Blackmer', 'Victoria Vetri', 'John Cassavetes', 'Mia Farrow']"
12 Years a Slave,['Steve McQueen'],"['Adepero Oduye', 'Alfre Woodard', 'Ashley Dyke', 'Benedict Cumberbatch', 'Bill Camp', 'Brad Pitt', 'Bryan Batt', 'Cameron Zeigler', 'Chiwetel Ejiofor', 'Chris Chalk', 'Christopher Berry', 'Craig Tate', 'Dickie Gravois', 'Dwight Henry', 'Garret Dillahunt', 'Kelsey Scott', ""Lupita Nyong'o"", 'Marcus Lyle Brown', 'Michael Fassbender', 'Michael K. Williams', 'Mister Mackey Jr.', 'Paul Dano', 'Paul Giamatti', 'Quvenzhané Wallis', 'Ruth Negga', 'Sarah Paulson', 'Scoot McNairy', 'Taran Killam', 'Tom Proctor', 'Tony Bentley', 'Alfre Woodard', 'Benedict Cumberbatch', 'Brad Pitt', 'Chiwetel Ejiofor', 'Garret Dillahunt', 'Michael Fassbender', 'Michael K. Williams', 'Paul Dano', 'Paul Giamatti', 'Sarah Paulson']"
Manchester by the Sea,['Kenneth Lonergan'],"['Amanda Blattner', 'Anna Baryshnikov', 'Anthony Estrella', 'Ben Hanson', ""Ben O'Brien"", 'Brian Chamberlain', 'C.J. Wilson', 'Casey Affleck', 'Chaunty Spillane', 'Danae Nason', 'Erica McDermott', 'Gretchen Mol', 'Heather Burns', 'Jeffrey Corazzini', 'Josh Hamilton', 'Kara Hayward', 'Kyle Chandler', 'Lewis D. Wheeler', 'Liam McNeill', 'Lucas Hedges', 'Mark Burzenski', 'Mary Mallen', 'Matthew Broderick', 'Michelle Williams', 'Missy Yager', 'Oscar Wahlberg', 'Quincy Tyler Bernstine', 'Richard Donelly', 'Robert Sella', 'Ruibo Qian', 'Stephanie Ann Saunders', 'Stephen Henderson', 'Susan Pourfar', 'Tate Donovan', 'Tom Kemp', 'Virginia Loring Cooke', 'Casey Affleck', 'Kyle Chandler', 'Lucas Hedges', 'Michelle Williams']"
Killer of Sheep,['Charles Burnett'],"['Angela Burnett', 'Charles Bracy', 'Chris Terrill', 'Eugene Cherry', 'Henry G. Sanders', 'Homer Jai', 'Jack Drummond', 'Johnny Smoke', 'Kaycee Moore', 'Lawrence Pierott', 'Russell Miles', 'Angela Burnett', 'Charles Bracy', 'Delores Farley', 'Dorothy Stengel', 'Eugene Cherry', 'Henry G. Sanders', 'Jack Drummond', 'Kaycee Moore', 'Slim', 'Tobar Mayo']"
Nashville,['Robert Altman'],"['Allen Garfield', 'Barbara Harris', 'Henry Gibson', 'Jeff Goldblum', 'Scott Glenn', 'Barbara Baxley', 'David Arkin', 'Geraldine Chaplin', 'Karen Black', 'Keith Carradine', 'Ned Beatty', 'Robert DoQui', 'Ronee Blakley', 'Shelley Duvall', 'Timothy Brown']"
Ratatouille,['Brad Bird'],"['Brian Dennehy', 'Ian Holm', 'Jake Steinfeld', 'James Remar', 'Janeane Garofalo', 'John Ratzenberger', 'Julius Callahan', ""Peter O'Toole"", 'Peter Sohn', 'Teddy Newton', 'Tony Fucile', 'Will Arnett', 'Brad Garrett', 'Lou Romano', 'Patton Oswalt']"
The Grapes of Wrath,['John Ford'],"['Darryl Hickman', 'Frank Darien', 'Frank Sully', 'Roger Imhof', 'Shirley Mills', 'Charley Grapewin', 'Dorris Bowdon', 'Eddie Quillan', 'Henry Fonda', 'Jane Darwell', 'John Carradine', 'John Qualen', 'O.Z. Whitehead', 'Russell Simpson', 'Zeffie Tilbury']"
Children of Paradise (1945),['Marcel Carné'],"['Etienne Decroux', 'Fabien Loris', 'Gaston Modot', 'Habib Benglia', 'Jane Marken', 'Louis Florencie', 'Marcel Pérès', 'Marcelle Monthil', 'María Casares', 'Palau', 'Pierre Brasseur', 'Pierre Renoir', 'Rognoni', 'Arletty', 'Jean-Louis Barrault']"
Mean Streets,['Martin Scorsese'],"['David Carradine', 'Harry Northup', 'Lois Walden', 'Murray Moston', 'Robert Carradine', 'Amy Robinson', 'Cesare Danova', 'David Proval', 'George Memmoli', 'Harvey Keitel', 'Jeannie Bell', 'Lenny Scaletta', 'Richard Romanus', 'Robert De Niro', 'Victor Argo']"
Sansho the Bailiff,['Kenji Mizoguchi'],"['Bontarô Miake', 'Ichirô Sugai', 'Keiko Enami', 'Masahiko Tsugawa', 'Teruko Ômi', 'Akitake Kôno', 'Eitarô Shindô', 'Kazukimi Okuni', 'Ken Mitsuda', 'Kimiko Tachibana', 'Kinuyo Tanaka', 'Kyôko Kagawa', 'Masao Shimizu', 'Yôko Kosono', 'Yoshiaki Hanayagi']"
The Lady Eve,['Preston Sturges'],"['Abdullah Abbas', 'Dora Clement', 'Luis Alberni', 'Mary Akin', 'Norman Ainsley', 'Barbara Stanwyck', 'Charles Coburn', 'Eric Blore', 'Eugene Pallette', 'Henry Fonda', 'Janet Beecher', ""Martha O'Driscoll"", 'Melville Cooper', 'Robert Greig', 'William Demarest']"
Gravity,['Alfonso Cuarón'],"['Amy Warren', 'Basher Savage', 'Ed Harris', 'Eric Michels', 'George Clooney', 'Janis Ahern', 'Orto Ignatiussen', 'Paul Sharma', 'Sandra Bullock', 'George Clooney', 'Sandra Bullock']"
Fantasia,"['Ben Sharpsteen', 'Bill Roberts', 'David Hand', 'Ford Beebe Jr.', 'Hamilton Luske', 'James Algar', 'Jim Handley', 'Norman Ferguson', 'Paul Satterfield', 'Samuel Armstrong', 'T. Hee', 'Wilfred Jackson']","['Corey Burton', 'Deems Taylor', 'Hugh Douglas', 'James MacDonald', 'Julietta Novis', 'Leopold Stokowski', 'Paul J. Smith', 'Tim Matheson', 'Walt Disney']"
Spirited Away,['Hayao Miyazaki'],"['Bunta Sugawara', 'Koba Hayashi', 'Mari Natsuki', 'Noriko Kitou', 'Rumi Hîragi', 'Ryûnosuke Kamiki', 'Shigeru Wakita', 'Shiro Saito', 'Takashi Naitô', 'Takehiko Ono', 'Tatsuya Gashûin', 'Tsunehiko Kamijô', 'Yasuko Sawaguchi', 'Yô Ôizumi', 'Yumi Tamai', 'Miyu Irino']"
Beauty and the Beast,"['Gary Trousdale', 'Kirk Wise']","['Alec Murphy', 'Alvin Epstein', 'Angela Lansbury', 'Bradley Pierce', 'Brian Cummings', 'David Ogden Stiers', 'Jerry Orbach', 'Jesse Corti', 'Jo Anne Worley', 'Mary Kay Bergman', 'Rex Everhart', 'Richard White', 'Tony Jay', ""Paige O'Hara"", 'Robby Benson']"
Small Axe: Lovers Rock,['Steve McQueen'],"['Alexander James-Blake', 'Frankie Fox', 'Jermaine Freeman', 'Romario Simpson', 'Saffron Coomber', 'Amarah-Jae St. Aubyn', 'Daniel Francis-Swaby', 'Ellis George', 'Francis Lovehall', 'Joshua Viner', 'Kadeem Ramsay', 'Kedar Williams-Stirling', 'Marcus Fraser', 'Micheal Ward', 'Shaniqua Okwok']"
Toy Story,['John Lasseter'],"['Annie Potts', 'Don Rickles', 'Erik von Detten', 'Jack Angel', 'Jim Varney', 'John Morris', 'John Morris', 'John Ratzenberger', 'Laurie Metcalf', 'Penn Jillette', 'R. Lee Ermey', 'Sarah Freeman', 'Spencer Aste', 'Wallace Shawn', 'Tim Allen', 'Tom Hanks']"
The Bride of Frankenstein,['James Whale'],"['Anne Darling', 'Dwight Frye', 'Mary Gordon', 'O.P. Heggie', 'Reginald Barlow', 'Boris Karloff', 'Colin Clive', 'Douglas Walton', 'E.E. Clive', 'Elsa Lanchester', 'Ernest Thesiger', 'Gavin Gordon', 'Lucien Prival', ""Una O'Connor"", 'Valerie Hobson']"
Don't Look Now,['Nicolas Roeg'],"['Adelina Poerio', 'Bruno Cattaneo', 'Nicholas Salter', 'Sharon Williams', 'Ann Rye', 'Clelia Matania', 'David Tree', 'Donald Sutherland', 'Giorgio Trestini', 'Hilary Mason', 'Julie Christie', 'Leopoldo Trieste', 'Massimo Serato', 'Renato Scarpa']"
The Social Network,['David Fincher'],"['Adina Porter', 'Alecia Svensen', 'Armie Hammer', 'Brenda Song', 'Bryan Barter', 'Caleb Landry Jones', 'Calvin Dean', 'Cherilyn Wilson', 'Dakota Johnson', 'Denise Grayson', 'Dustin Fitzsimons', 'James Dastoli', 'Jami Owen', 'Jayk Gallagher', 'Joseph Mazzello', 'Malese Jow', 'Marcella Lentz-Pope', 'Max Minghella', 'Patrick Mapel', 'Rashida Jones', 'Robert Dastoli', 'Rooney Mara', 'Scotty Crowe', 'Shelby Young', 'Toby Meuli', 'Trevor Wright', 'Andrew Garfield', 'Jesse Eisenberg', 'Justin Timberlake']"
My Fair Lady,['George Cukor'],"['Elizabeth Aimers', 'Helen Albrecht', 'John Alderson', 'LaWana Backer', 'Mary Alexander', 'Audrey Hepburn', 'Gladys Cooper', 'Isobel Elsom', 'Jeremy Brett', 'John Holland', 'Mona Washbourne', 'Rex Harrison', 'Stanley Holloway', 'Theodore Bikel', 'Wilfrid Hyde-White']"
Portrait of a Lady on Fire,['Céline Sciamma'],"['Adele Haenel', 'Armande Boulanger', 'Cécile Morel', 'Christel Baras', 'Clément Bouyssou', 'Guy Delamarche', 'Luàna Bajrami', 'Michèle Clément', 'Noémie Merlant', 'Valeria Golino']"
I Am Not Your Negro,['Raoul Peck'],"['Dick Cavett', 'James Baldwin', 'Samuel L. Jackson', 'Shumerria Harris']"
Woodstock,['Michael Wadleigh'],"['Bob Davis', 'Canned Heat', 'Jimi Hendrix', 'John Sebastian', 'Santana', 'Sly and the Family Stone', 'Arlo Guthrie', 'Country Joe and the Fish', 'Crosby Stills & Nash', 'Joan Baez', 'Joe Cocker', 'Richie Havens', 'Sha-Na-Na', 'Ten Years After', 'The Who']"
Double Indemnity,['Billy Wilder'],"['Edmund Cobb', 'James Adamson', 'John Berry', 'Kernan Cripps', 'Raymond Chandler', 'Barbara Stanwyck', 'Byron Barr', 'Edward G. Robinson', 'Fortunio Bonanova', 'Fred MacMurray', 'Jean Heather', 'John Philliber', 'Porter Hall', 'Richard Gaines', 'Tom Powers']"
